# Open,High,Low,Volume,Close
375.462677,379.054199,375.049225,3478900,375.507507
373.853699,377.395416,373.724182,3280500,376.434021
377.684357,386.850006,377.634521,7520100,386.351868
382.411621,383.796448,377.719208,6103700,378.092804
379.14389,384.115234,378.316986,3755300,381.440277
378.117737,385.036774,377.833801,4171700,383.647003
383.412872,387.950867,381.320709,5701600,385.529938
388.608398,391.86618,388.324463,6062700,391.218628
387.746643,390.038055,385.430298,4351800,389.749115
389.415375,392.478882,388.229828,3731900,388.892334
388.608398,391.208649,388.528687,2405200,389.968292
388.409149,392.897339,387.4328,3483500,392.439056
392.229828,395.148895,392.06543,5480000,394.964569
396.508789,401.993225,396.155121,5885500,401.918518
401.146393,402.974548,394.416626,5549000,394.750366
397.51004,401.22113,394.13269,7039000,396.279633
398.137695,399.128967,395.417877,4123100,398.361847
399.652008,402.695587,393.769043,4625000,393.908539
396.015625,396.488861,390.735413,4421500,393.589722
395.916016,400.872437,394.077911,4067300,398.396698
399.05426,401.988251,399.019379,4548500,399.104065
397.4104,402.062958,396.588501,4367000,401.589752
401.146393,409.883667,400.996979,5571900,409.216156
412.917297,418.506348,412.902344,8118400,417.734222
418.944702,420.424133,412.857513,5767400,414.137695
415.472717,416.747925,413.241058,4120700,414.745422
415.691895,415.901093,410.984528,5845600,414.207458
414.292145,418.282166,414.197479,3201200,415.851288
413.803955,414.391754,410.297119,4031600,412.259735
412.404205,413.794006,409.619659,3294800,411.114044
411.950897,411.950897,407.168823,3314700,409.236084
407.721771,408.618408,405.151398,6222500,405.629608
400.996979,404.862488,399.238556,3690300,402.386749
404.105316,408.095367,401.719269,4212000,404.145172
406.889862,407.228607,404.204926,2938500,405.833832
404.130219,406.934723,403.412903,2966200,404.115265
405.848785,406.097839,403.308289,2987400,403.642059
404.688141,408.085388,401.903564,3436800,403.308289
405.23111,405.480164,402.386749,2392600,404.693115
401.833832,401.993225,399.168823,4342500,399.831329
400.493866,401.181274,395.168823,4592600,395.612152
396.02063,399.627106,395.14389,3628100,399.099091
400.767822,405.893616,400.49884,4098200,405.001953
405.211182,405.579773,398.840057,3489900,401.594727
400.623352,401.370575,394.172546,4913400,396.050507
391.562317,392.025604,386.750366,6893400,390.062958
387.92099,388.319489,382.765289,5685300,385.978271
386.302032,390.411652,385.111511,4330700,387.373016
389.998199,394.695587,386.551117,3971900,393.614624
394.959595,395.069183,390.566071,4072500,393.719238
394.516266,394.571045,390.003174,3285500,393.549866
391.507538,397.011902,387.059204,4924500,389.505035
391.826324,396.513763,390.496338,3496900,395.203674
391.906036,393.94339,387.597198,4089100,389.818878
391.208649,391.4328,379.208618,6669800,381.524963
383.14389,400.219879,381.69931,11649800,398.441528
398.805176,400.478912,386.052979,5788300,398.561096
399.004425,406.227356,398.685638,4601600,402.441559
402.546173,407.472687,402.491364,3671800,405.206177
406.600952,406.710541,402.307068,3999200,403.039307
402.292114,402.361847,396.802673,4993900,399.213654
400.125244,409.813904,400.000702,4618800,408.000702
407.970825,412.274689,407.313293,4630600,410.745422
410.092865,410.82016,406.655762,2920800,408.683167
408.518768,415.716797,407.995728,4051600,413.256012
416.917297,421.818909,416.439087,5044000,421.280945
422.546204,429.315826,422.546204,4298500,429.166382
429.893646,430.322052,423.746704,3932600,427.014435
426.899872,435.30835,424.862518,4955000,435.183838
433.794037,438.187561,432.493896,4417600,434.112823
436.020691,438.625916,434.451569,3809500,438.471497
437.804016,439.587311,435.059296,2907700,437.126556
437.111603,442.685699,436.932281,3170300,441.893677
446.078003,456.479004,445.340759,8001600,456.234924
457.784119,458.272278,449.320831,6443200,450.247375
453.310883,455.039398,448.578613,5604800,452.892456
450.810242,458.581116,450.810242,4562300,452.568665
452.314606,454.127808,447.129059,3980700,451.791565
449.594818,452.957214,441.784088,5140300,443.049347
436.862518,443.318329,435.368134,4567200,439.746735
435.995789,437.769135,433.878723,4610700,435.029388
440.100403,444.404266,438.556183,4531900,438.989563
436.21994,437.355682,430.53125,4041800,432.533752
433.335754,437.80899,431.587311,4257200,433.754181
432.439117,436.862518,432.140228,3953500,433.983337
434.869995,435.35318,425.913574,4969900,432.195038
432.304626,433.669495,425.440338,3751100,427.945953
429.644592,433.101624,426.96463,4229300,428.244843
430.536255,431.547455,422.028137,5177400,430.705597
433.584808,438.356934,431.044342,5369200,438.222443
439.403015,443.836395,438.401764,4693000,443.447845
440.334503,441.843872,438.117828,3528300,438.262299
441.076721,441.345734,433.201263,4426100,434.361908
432.867493,438.187561,431.134003,4155200,436.862518
438.406738,440.698151,435.432892,4506700,435.8862
437.973358,443.054321,437.500153,4308500,441.470276
442.665771,448.817719,442.516327,4350000,448.628418
449.002045,453.71936,447.074249,5853600,448.658325
445.325806,448.817719,440.005737,6769200,440.718079
442.511353,443.278473,434.904877,7994300,438.82019
434.312103,436.523804,430.013214,6056300,433.270996
436.992035,438.19754,430.640839,5125500,431.482697
435.243591,437.360657,433.659546,3676400,435.193787
437.759186,440.693176,436.688171,3867300,436.8974
435.816467,439.273499,435.462769,4716100,438.541229
441.569885,444.37439,440.847595,3462400,442.282227
443.437897,443.836395,436.99704,3797000,439.507629
438.307129,442.924805,437.609741,2101700,441.559937
443.343231,446.033173,442.013214,3416500,445.076752
447.926056,451.442871,446.865051,3953700,450.855072
453.799042,454.770416,447.313354,3973500,450.92981
450.038147,453.868774,448.508881,3429500,451.303406
454.795319,458.68573,452.56369,5187700,458.401794
458.282257,459.776642,455.911133,5155600,459.776642
460.424225,462.267303,456.469055,3935600,460.6185
461.833923,462.25235,455.243622,3980700,458.087982
458.780365,461.699432,456.439148,3023400,457.559967
457.779144,458.282257,449.90863,7296100,453.639648
441.649597,449.789093,436.170135,14773700,446.625946
449.315857,454.63092,446.825195,5828100,453.649597
453.649597,454.795319,448.105377,4106600,450.212494
451.936035,453.450348,448.668274,4172500,449.76416
445.266022,446.750458,441.38559,6024600,442.192566
441.838867,443.333282,439.35321,3568600,441.021942
440.797791,445.739258,438.800262,3797800,439.487701
441.076721,446.132782,438.790314,3524300,443.796539
444.827667,446.581116,441.435394,4363200,442.217468
445.828918,450.58609,445.828918,4292700,450.421722
450.033173,451.806519,448.728058,3440600,451.592316
451.004517,451.069275,447.921082,2629100,450.810242
450.655823,453.156464,446.192566,3023400,446.610992
